cluster_id,character,malePercent,femalePercent,nonbinaryPercent,significant,pValue,size,x_nose,y_nose,x_neck,y_neck,x_lshoulder,y_lshoulder,x_rshoulder,y_rshoulder,x_lelbow,y_lelbow,x_relbow,y_relbow,x_lwrist,y_lwrist,x_rwrist,y_rwrist,x_midhip,y_midhip,x_lhip,y_lhip,x_rhip,y_rhip,x_lknee,y_lknee,x_rknee,y_rknee,x_lankle,y_lankle,x_rankle,y_rankle,x_bigtoe,y_bigtoe,x_rbigtoe,y_rbigtoe
1,masculine,86.7,6.7,6.7,1,5.511419286220916e-09,45,0.126959,-0.365051,0.123470,-0.310642,0.189477,-0.305902,0.056846,-0.315783,0.213648,-0.202833,0.020915,-0.223268,0.162493,-0.149080,0.074821,-0.177428,0.114102,-0.158330,0.153183,-0.155565,0.075106,-0.161687,0.221147,-0.129390,0.006839,-0.176117,0.144982,-0.051469,0.045103,-0.054058,0.148766,-0.010106,0.027372,-0.012816
2,masculine,88.9,8.3,2.8,1,2.3193123965785794e-07,36,0.099549,-0.364850,0.104125,-0.307661,0.169108,-0.313041,0.039615,-0.300885,0.214021,-0.223916,0.013248,-0.197199,0.183652,-0.170870,0.052520,-0.131956,0.114592,-0.168044,0.153102,-0.171624,0.074958,-0.164221,0.225017,-0.152557,0.012978,-0.102783,0.178301,-0.049344,0.076327,-0.054869,0.191258,-0.007491,0.071056,-0.012230
3,masculine,76.7,10.0,13.3,1,5.263094277474756e-06,30,0.127506,-0.326350,0.133017,-0.277663,0.190172,-0.278584,0.073463,-0.277603,0.239655,-0.208528,0.010587,-0.223759,0.173289,-0.187349,0.064903,-0.214505,0.133656,-0.112311,0.172585,-0.112607,0.094588,-0.114515,0.228836,-0.176616,0.030699,-0.191503,0.194020,-0.039770,0.045024,-0.044859,0.199444,-0.004581,0.023985,-0.008840
4,masculine,84.7,11.4,3.9,1,3.878192055645454e-68,437,0.058888,-0.393042,0.061560,-0.340778,0.103640,-0.341033,0.019853,-0.340913,0.119728,-0.274300,0.004094,-0.274173,0.112993,-0.216532,0.006545,-0.216338,0.060284,-0.210339,0.087010,-0.210106,0.033655,-0.210398,0.092228,-0.117437,0.030305,-0.117450,0.097543,-0.029707,0.027540,-0.029946,0.104863,-0.002848,0.014880,-0.003739
5,masculine,83.3,13.2,3.6,1,6.552208273279327e-41,281,0.055119,-0.382799,0.059930,-0.335421,0.098830,-0.335633,0.021024,-0.335697,0.118756,-0.277048,0.004163,-0.278666,0.094607,-0.238616,0.018547,-0.242414,0.058187,-0.211059,0.082922,-0.210735,0.033193,-0.211492,0.087839,-0.118734,0.029553,-0.119567,0.093141,-0.029235,0.026536,-0.031559,0.095744,-0.003002,0.012148,-0.006835
6,neutral,85.7,14.3,0.0,0,,7,0.092876,-0.240214,0.087966,-0.183312,0.139130,-0.191560,0.040772,-0.171968,0.206647,-0.163725,0.011821,-0.103957,0.234881,-0.137895,0.022273,-0.069409,0.139766,-0.059998,0.167112,-0.076621,0.115150,-0.046992,0.251622,-0.138173,0.157067,-0.055559,0.340268,-0.044850,0.251594,-0.021468,0.384480,-0.034352,0.298147,-0.016583
7,masculine,79.8,14.6,5.6,1,5.701631506698622e-12,89,0.071429,-0.363391,0.069548,-0.317785,0.114890,-0.318497,0.023069,-0.317059,0.136072,-0.248606,0.009452,-0.243706,0.113340,-0.217058,0.045710,-0.216158,0.070589,-0.207121,0.099459,-0.207739,0.041273,-0.206229,0.152758,-0.172940,0.015193,-0.166196,0.150254,-0.050362,0.020799,-0.041241,0.168196,-0.016313,0.016230,-0.003963
8,masculine,80.1,15.6,4.3,1,1.1169516205193668e-26,211,0.070752,-0.380976,0.069751,-0.331682,0.111191,-0.331920,0.028681,-0.332026,0.130905,-0.271543,0.008317,-0.271953,0.120539,-0.223252,0.019828,-0.225133,0.069581,-0.206821,0.096232,-0.206864,0.043349,-0.206934,0.107564,-0.117773,0.032209,-0.118095,0.118447,-0.030670,0.023074,-0.031390,0.128066,-0.003616,0.010154,-0.004831
9,masculine,78.9,18.1,3.0,1,2.942175911009411e-27,237,0.070414,-0.386234,0.069715,-0.335219,0.113688,-0.336005,0.026350,-0.335102,0.134194,-0.272569,0.004402,-0.270742,0.130666,-0.216191,0.007363,-0.214082,0.070598,-0.205017,0.097904,-0.205315,0.043187,-0.204684,0.103340,-0.113861,0.045386,-0.113916,0.107390,-0.028339,0.047496,-0.029104,0.115564,-0.003322,0.041834,-0.003809
10,neutral,76.2,19.0,4.8,0,,21,0.138135,-0.348419,0.100849,-0.308817,0.146266,-0.304772,0.055343,-0.315045,0.181967,-0.231009,0.059539,-0.214423,0.197168,-0.209091,0.131052,-0.183969,0.040214,-0.175340,0.074958,-0.178374,0.005208,-0.174592,0.183918,-0.169405,0.085806,-0.153484,0.113124,-0.053249,0.029467,-0.045463,0.153325,-0.016297,0.061974,-0.005346
